,,,,,,,Daily Price Arrival Report-07-11-2025 to 25-04-2026 for Haryana,,,,,,
State,District,Market,Commodity Group,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Arrival Quantity,Arrival Unit,Arrival Date
Haryana,Ambala,Ambala City APMC,Cereals,Wheat,Other,FAQ,"2,585.00","2,585.00","2,585.00",Rs./Quintal,258.00,Metric Tonnes,24-04-2026
Haryana,Ambala,Ambala City APMC,Cereals,Wheat,Other,FAQ,"2,585.00","2,585.00","2,585.00",Rs./Quintal,"1,052.00",Metric Tonnes,22-04-2026
Haryana,Ambala,Ambala City APMC,Cereals,Wheat,Other,FAQ,"2,585.00","2,585.00","2,585.00",Rs./Quintal,"1,152.00",Metric Tonnes,21-04-2026
Haryana,Ambala,Ambala City APMC,Cereals,Wheat,Other,FAQ,"2,585.00","2,585.00","2,585.00",Rs./Quintal,"2,785.20",Metric Tonnes,20-04-2026
Haryana,Ambala,Ambala City APMC,Cereals,Wheat,Other,FAQ,"2,585.00","2,585.00","2,585.00",Rs./Quintal,"6,485.70",Metric Tonnes,16-04-2026
Haryana,Ambala,Ambala City APMC,Cereals,Wheat,Other,FAQ,"2,485.00","2,485.00","2,485.00",Rs./Quintal,"7,452.10",Metric Tonnes,15-04-2026
Haryana,Ambala,Ambala City APMC,Cereals,Wheat,Other,FAQ,"2,585.00","2,585.00","2,585.00",Rs./Quintal,"7,352.00",Metric Tonnes,14-04-2026
Haryana,Ambala,Ambala City APMC,Cereals,Wheat,Other,FAQ,"2,585.00","2,585.00","2,585.00",Rs./Quintal,"4,580.20",Metric Tonnes,13-04-2026
Haryana,Ambala,Ambala City APMC,Cereals,Wheat,Other,FAQ,"2,585.00","2,585.00","2,585.00",Rs./Quintal,"2,256.00",Metric Tonnes,12-04-2026
Haryana,Ambala,Ambala City APMC,Cereals,Wheat,Other,FAQ,"2,585.00","2,585.00","2,585.00",Rs./Quintal,"3,589.00",Metric Tonnes,11-04-2026
Haryana,Ambala,Ambala City APMC,Cereals,Wheat,Other,FAQ,"2,585.00","2,585.00","2,585.00",Rs./Quintal,584.00,Metric Tonnes,08-04-2026
Haryana,Ambala,Ambala City APMC,Cereals,Wheat,Other,FAQ,"2,585.00","2,585.00","2,585.00",Rs./Quintal,658.00,Metric Tonnes,07-04-2026
Haryana,Ambala,Ambala City APMC,Cereals,Wheat,Other,FAQ,"2,585.00","2,585.00","2,585.00",Rs./Quintal,351.00,Metric Tonnes,04-04-2026
Haryana,Ambala,Barara APMC,Cereals,Wheat,Other,FAQ,"2,585.00","2,585.00","2,585.00",Rs./Quintal,791.60,Metric Tonnes,25-04-2026
Haryana,Ambala,Barara APMC,Cereals,Wheat,Other,FAQ,"2,585.00","2,585.00","2,585.00",Rs./Quintal,"1,466.30",Metric Tonnes,23-04-2026
Haryana,Ambala,Barara APMC,Cereals,Wheat,Other,FAQ,"2,585.00","2,585.00","2,585.00",Rs./Quintal,"1,409.60",Metric Tonnes,21-04-2026
Haryana,Ambala,Barara APMC,Cereals,Wheat,Other,FAQ,"2,585.00","2,585.00","2,585.00",Rs./Quintal,"4,507.20",Metric Tonnes,18-04-2026
Haryana,Ambala,Barara APMC,Cereals,Wheat,Other,FAQ,"2,585.00","2,585.00","2,585.00",Rs./Quintal,697.30,Metric Tonnes,17-04-2026
Haryana,Ambala,Barara APMC,Cereals,Wheat,Other,FAQ,"2,585.00","2,585.00","2,585.00",Rs./Quintal,"3,515.40",Metric Tonnes,16-04-2026
Haryana,Ambala,Barara APMC,Cereals,Wheat,Other,FAQ,"2,585.00","2,585.00","2,585.00",Rs./Quintal,"6,219.50",Metric Tonnes,15-04-2026
Haryana,Ambala,Barara APMC,Cereals,Wheat,Other,FAQ,"2,585.00","2,585.00","2,585.00",Rs./Quintal,"5,191.50",Metric Tonnes,14-04-2026
Haryana,Ambala,Barara APMC,Cereals,Wheat,Other,FAQ,"2,585.00","2,585.00","2,585.00",Rs./Quintal,558.00,Metric Tonnes,13-04-2026
Haryana,Ambala,Barara APMC,Cereals,Wheat,Other,FAQ,"2,585.00","2,585.00","2,585.00",Rs./Quintal,"2,510.20",Metric Tonnes,10-04-2026
Haryana,Ambala,Barara APMC,Cereals,Wheat,Other,FAQ,"2,585.00","2,585.00","2,585.00",Rs./Quintal,"2,667.10",Metric Tonnes,09-04-2026
